QS406EW - Household size,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 11 April 2020],,,,,,,,,,
Population :,All household spaces with at least one usual resident,,,,,,,,,
Units      :,Household spaces,,,,,,,,,
Date       :,2011,,,,,,,,,
Rural Urban:,Total,,,,,,,,,
,,,,,,,,,,
Area,mnemonic,All categories: Household size,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household
ualad09:Solihull,E08000029,86056,25102,29037,13668,12583,4051,1213,267,135
ualad09:Walsall,E08000030,107822,30771,35208,17410,14457,5958,2711,779,528
ualad09:Wolverhampton,E08000031,102177,32876,31053,16224,13054,5708,2312,606,344
ualad09:Bromsgrove,E07000234,38290,10041,14422,6062,5686,1635,335,73,36
ualad09:Malvern Hills,E07000235,32212,9555,12754,4485,3754,1232,343,61,28
ualad09:Redditch,E07000236,34722,9282,12550,5709,4785,1647,526,134,89
ualad09:Worcester,E07000237,42042,13135,14583,6422,5341,1772,585,131,73
ualad09:Wychavon,E07000238,49466,12886,19811,7496,6697,1921,524,85,46
ualad09:Wyre Forest,E07000239,42985,12890,16289,6615,5067,1575,417,83,49
ualad09:Bedford,E06000055,63812,18396,21264,10534,8697,3236,1180,276,229
ualad09:Central Bedfordshire,E06000056,104399,27030,37399,17957,15702,4747,1239,217,108
ualad09:Luton,E06000032,74293,20319,20641,12413,10617,5292,3098,1004,909
ualad09:Peterborough,E06000031,74023,21252,24505,11997,9868,3870,1706,455,370
ualad09:Southend-on-Sea,E06000033,74678,24386,24848,11186,9501,3311,1076,236,134
ualad09:Thurrock,E06000034,62353,16368,19584,11128,10184,3676,1054,246,113
ualad09:Cambridge,E07000008,46714,15848,14791,7161,5721,2140,775,153,125
ualad09:East Cambridgeshire,E07000009,34614,8893,12958,5577,5103,1560,419,68,36
ualad09:Fenland,E07000010,40620,11576,15575,6137,4907,1675,560,121,69
ualad09:Huntingdonshire,E07000011,69333,17691,26076,11000,10238,3205,870,166,87
ualad09:South Cambridgeshire,E07000012,59960,14772,22332,9351,9555,2971,753,157,69
ualad09:Basildon,E07000066,72746,21480,24094,11812,10564,3461,969,235,131
ualad09:Braintree,E07000067,61043,16537,22087,9914,8726,2875,697,133,74
ualad09:Brentwood,E07000068,30646,8853,10458,4715,4738,1466,348,49,19
ualad09:Castle Point,E07000069,36440,9524,13588,5770,5170,1793,486,76,33
ualad09:Chelmsford,E07000070,69667,19138,24829,11029,10339,3315,827,139,51
ualad09:Colchester,E07000071,71634,20849,25631,11291,9661,3098,868,172,64
ualad09:Epping Forest,E07000072,51991,15285,17318,8406,7595,2519,681,120,67
ualad09:Harlow,E07000073,34620,10599,11168,5808,4828,1595,495,92,35
ualad09:Maldon,E07000074,25817,6923,9731,3941,3684,1161,310,53,14
ualad09:Rochford,E07000075,33564,8112,12425,5288,5465,1755,410,70,39
ualad09:Tendring,E07000076,62105,20545,23752,8243,6232,2279,770,201,83
ualad09:Uttlesford,E07000077,31316,7372,11409,5056,5136,1806,448,57,32
ualad09:Broxbourne,E07000095,37658,10070,12104,6551,6211,2029,551,111,31
ualad09:Dacorum,E07000096,59938,17275,20364,9520,8941,2885,715,159,79
ualad09:East Hertfordshire,E07000242,56577,15722,19415,8954,9026,2696,629,102,33
ualad09:Hertsmere,E07000098,39778,11148,12427,6598,6479,2289,660,112,65
ualad09:North Hertfordshire,E07000099,53426,15494,18605,8435,7688,2406,634,113,51
ualad09:St Albans,E07000240,56140,14988,18843,8609,9494,3115,838,154,99
ualad09:Stevenage,E07000243,34898,10455,11019,6115,4908,1705,547,103,46
ualad09:Three Rivers,E07000102,35108,9738,11341,5709,5747,1901,529,99,44
ualad09:Watford,E07000103,36681,11392,11029,5838,5226,2041,832,189,134
ualad09:Welwyn Hatfield,E07000241,43613,12533,13953,6878,6734,2566,744,147,58
ualad09:Breckland,E07000143,54519,14150,22132,8278,6765,2235,730,133,96
ualad09:Broadland,E07000144,53336,14087,21632,8111,6999,1948,446,84,29
ualad09:Great Yarmouth,E07000145,42079,12571,15664,6541,4846,1702,579,119,57
ualad09:King's Lynn and West Norfolk,E07000146,62977,17116,25580,9365,7336,2443,833,187,117
ualad09:North Norfolk,E07000147,46046,14320,19614,5796,4328,1390,455,95,48
ualad09:Norwich,E07000148,60319,23020,20223,8168,5929,2086,693,146,54
ualad09:South Norfolk,E07000149,52809,13870,21663,7680,6896,2021,529,107,43
ualad09:Babergh,E07000200,37522,10570,14748,5383,4764,1575,380,81,21
ualad09:Forest Heath,E07000201,25376,7238,9669,4082,3034,1013,263,54,23
ualad09:Ipswich,E07000202,57298,18507,19242,9036,6959,2438,838,176,102
ualad09:Mid Suffolk,E07000203,40306,10219,16364,5757,5599,1782,433,112,40
ualad09:St Edmundsbury,E07000204,45802,12089,17756,7094,6154,2005,558,115,31
ualad09:Suffolk Coastal,E07000205,53558,15645,21198,7024,6759,2221,523,132,56
ualad09:Waveney,E07000206,50883,15745,19925,6812,5650,1919,628,142,62
ualad09:Camden,E09000007,97534,39531,28215,13085,10245,4095,1511,495,357
ualad09:City of London,E09000001,4385,2472,1356,339,153,36,17,7,5
ualad09:Hackney,E09000012,101690,35635,28827,16124,11336,5317,2645,808,998
ualad09:Hammersmith and Fulham,E09000013,80590,30148,24049,11863,9029,3430,1422,364,285
ualad09:Haringey,E09000014,101955,32524,29431,16563,12753,6454,2720,815,695
ualad09:Islington,E09000019,93556,36240,30161,13394,8400,3388,1392,351,230
ualad09:Kensington and Chelsea,E09000020,78536,36524,22823,8855,6348,2720,920,230,116
ualad09:Lambeth,E09000022,130017,44691,39789,21164,14670,6211,2520,592,380
ualad09:Lewisham,E09000023,116091,39680,34220,17931,14707,6253,2438,500,362
ualad09:Newham,E09000025,101519,26536,22164,16502,15211,10089,6842,2167,2008
ualad09:Southwark,E09000028,120422,40307,36090,20904,13688,5707,2681,670,375
ualad09:Tower Hamlets,E09000030,101257,35047,30440,13223,10124,5575,4051,1493,1304
ualad09:Wandsworth,E09000032,130493,42106,43894,19970,15575,5753,2307,506,382
ualad09:Westminster,E09000033,105772,47893,31340,12507,8301,3580,1542,345,264
ualad09:Barking and Dagenham,E09000002,69681,19215,18641,12616,10516,5414,2329,507,443
ualad09:Barnet,E09000003,135916,37957,38861,23078,21249,9089,3926,997,759
ualad09:Bexley,E09000004,92604,25789,28734,15633,14650,5523,1743,349,183
ualad09:Brent,E09000005,110286,30616,26666,19007,16509,9124,5302,1565,1497
ualad09:Bromley,E09000006,130862,40815,41993,21331,18166,6504,1592,314,147
ualad09:Croydon,E09000008,145010,43043,43020,25094,20435,8706,3341,837,534
ualad09:Ealing,E09000009,124082,35329,31666,21170,19108,9533,4811,1298,1167
ualad09:Enfield,E09000010,119916,33359,33792,20930,19313,8215,3097,689,521
ualad09:Greenwich,E09000011,101045,32370,28490,16256,13828,6166,2804,653,478
ualad09:Harrow,E09000015,84268,19008,23449,14861,15376,6934,3235,820,585
ualad09:Havering,E09000016,97199,28215,31228,16132,14344,5252,1532,320,176
ualad09:Hillingdon,E09000017,100214,25290,29274,17348,16715,7337,2945,748,557
ualad09:Hounslow,E09000018,94902,25985,26019,16929,14224,6999,3224,844,678
ualad09:Kingston upon Thames,E09000021,63639,18198,19807,10964,9719,3516,1084,224,127
ualad09:Merton,E09000024,78757,22294,23958,13311,11747,4818,1906,441,282
ualad09:Redbridge,E09000026,99105,25228,25902,16873,16194,8660,4130,1137,981
ualad09:Richmond upon Thames,E09000027,79835,26008,25479,12428,11198,3607,902,133,80
ualad09:Sutton,E09000029,78174,23749,23697,13350,11593,4155,1272,242,116
ualad09:Waltham Forest,E09000031,96861,28756,24330,16875,14428,7235,3536,935,766
ualad09:Bracknell Forest,E06000036,45878,12707,15522,7648,7185,2074,576,115,51
ualad09:Brighton and Hove,E06000043,121540,44294,39817,17285,13244,4822,1613,297,168
ualad09:Isle of Wight,E06000046,61085,19957,23439,8333,6208,2182,746,147,73
ualad09:Medway,E06000035,106209,29434,34837,18384,15493,5545,1908,388,220
ualad09:Milton Keynes,E06000042,98584,25546,32859,17221,14896,5456,1837,477,292
ualad09:Portsmouth,E06000044,85473,27471,27470,13514,10686,4422,1435,299,176
ualad09:Reading,E06000038,62869,19237,20410,9955,8066,3189,1382,361,269
ualad09:Slough,E06000039,50766,14447,12370,8563,7812,4160,2180,678,556
ualad09:Southampton,E06000045,98254,33241,31029,14638,11705,4846,1920,530,345
ualad09:West Berkshire,E06000037,62340,16123,22607,10190,9502,2875,822,154,67
ualad09:Windsor and Maidenhead,E06000040,58349,16554,19740,9227,8683,2902,885,204,154
ualad09:Wokingham,E06000041,60332,14084,21502,10094,10397,3172,826,171,86
ualad09:Aylesbury Vale,E07000004,69406,17612,25130,11111,10545,3457,1155,248,148
ualad09:Chiltern,E07000005,36946,9179,13075,5858,6131,2040,517,85,61
ualad09:South Bucks,E07000006,26514,7136,8966,4176,4038,1507,465,138,88
ualad09:Wycombe,E07000007,67861,18138,23308,10326,10273,3801,1398,368,249
ualad09:Eastbourne,E07000061,45012,16298,15808,5959,4579,1634,552,121,61
ualad09:Hastings,E07000062,41159,15781,13369,5696,3890,1502,687,156,78
ualad09:Lewes,E07000063,42181,12744,15853,6074,5165,1723,482,106,34
ualad09:Rother,E07000064,40877,13889,15959,5065,3768,1396,610,137,53
ualad09:Wealden,E07000065,62676,17279,24503,8934,8222,2708,818,142,70
ualad09:Basingstoke and Deane,E07000084,69315,18298,25207,11407,10049,3173,930,160,91
ualad09:East Hampshire,E07000085,47258,12182,17858,7353,6906,2171,622,118,48
ualad09:Eastleigh,E07000086,52177,13934,19150,8428,7654,2229,586,136,60
ualad09:Fareham,E07000087,46579,11814,18320,7461,6507,1839,465,132,41
ualad09:Gosport,E07000088,35430,10566,12879,5516,4309,1543,450,114,53
ualad09:Hart,E07000089,35510,7961,12987,5929,6224,1854,461,57,37
ualad09:Havant,E07000090,51311,14675,19352,7797,6230,2209,770,192,86
ualad09:New Forest,E07000091,76839,22210,30783,10849,9194,2772,802,155,74
ualad09:Rushmoor,E07000092,36344,9291,11943,6269,5847,1987,690,202,115
ualad09:Test Valley,E07000093,47626,11855,18527,7344,7010,2123,579,129,59
ualad09:Winchester,E07000094,46865,12837,17404,6713,6846,2264,621,130,50
ualad09:Ashford,E07000105,47787,12242,17251,7824,6955,2512,757,167,79
ualad09:Canterbury,E07000106,60771,18085,21695,8932,7743,2998,1032,198,88
ualad09:Dartford,E07000107,40081,11643,13168,6498,5987,2014,602,111,58
ualad09:Dover,E07000108,48310,15276,17629,7234,5231,1840,769,204,127
ualad09:Gravesham,E07000109,40431,11131,13015,6732,5978,2332,909,202,132
ualad09:Maidstone,E07000110,63447,16452,23572,10266,9203,2860,856,160,78
ualad09:Sevenoaks,E07000111,47020,12697,16663,7188,7345,2340,636,101,50
ualad09:Folkestone and Hythe,E07000112,47379,15791,16985,6661,4881,1985,757,220,99
ualad09:Swale,E07000113,55585,15128,19815,9266,7531,2738,862,170,75
ualad09:Thanet,E07000114,59513,20646,20566,8516,6281,2312,861,204,127
ualad09:Tonbridge and Malling,E07000115,48140,11553,17521,7955,7748,2513,663,131,56
ualad09:Tunbridge Wells,E07000116,47174,13687,16342,7203,6467,2366,918,131,60
ualad09:Cherwell,E07000177,56728,14307,20587,9470,8549,2613,907,179,116
ualad09:Oxford,E07000178,55375,18316,16341,8555,7316,2980,1265,331,271
ualad09:South Oxfordshire,E07000179,54104,13734,19966,8390,8586,2576,652,136,64
ualad09:Vale of White Horse,E07000180,49407,13065,18258,7933,7177,2157,629,134,54
ualad09:West Oxfordshire,E07000181,43241,11412,16431,6755,6153,1868,489,98,35
ualad09:Elmbridge,E07000207,52922,14568,17450,8221,9102,2758,666,117,40
ualad09:Epsom and Ewell,E07000208,29784,7730,9843,4975,5168,1558,402,72,36
ualad09:Guildford,E07000209,53973,14422,18900,8678,8372,2715,686,144,56
ualad09:Mole Valley,E07000210,35828,10477,12732,5302,5139,1640,439,63,36
ualad09:Reigate and Banstead,E07000211,55423,15163,18958,8866,8777,2722,723,149,65
ualad09:Runnymede,E07000212,32714,9836,10892,5156,4705,1539,456,89,41
ualad09:Spelthorne,E07000213,39512,11262,13154,6677,5805,1936,501,123,54
ualad09:Surrey Heath,E07000214,33546,7867,11953,5533,5771,1762,511,107,42
ualad09:Tandridge,E07000215,33342,8909,11809,5118,5272,1641,476,87,30
ualad09:Waverley,E07000216,49280,13698,17801,7437,7145,2448,592,103,56
ualad09:Woking,E07000217,39467,10499,13130,6450,6280,2125,698,149,136
ualad09:Adur,E07000223,26957,8553,9709,4126,3291,922,250,76,30
ualad09:Arun,E07000224,66706,22020,25331,8942,7162,2293,717,159,82
ualad09:Chichester,E07000225,49848,15948,18859,6551,5836,1951,570,93,40
ualad09:Crawley,E07000226,42727,12129,13275,7275,6482,2398,882,180,106
ualad09:Horsham,E07000227,54923,15476,20234,8246,7898,2303,606,102,58
ualad09:Mid Sussex,E07000228,57409,15768,20325,9101,8678,2642,723,108,64
ualad09:Worthing,E07000229,47044,16890,15807,6424,5565,1647,572,97,42
ualad09:Bath and North East Somerset,E06000022,73515,22535,26034,10483,9959,3327,908,183,86
ualad09:Bournemouth,E06000028,82374,30390,27575,11034,8664,3163,1135,252,161
"ualad09:Bristol, City of",E06000023,182747,61607,60565,26593,21192,7932,3326,872,660
ualad09:Cornwall,E06000052,230389,69269,87823,33313,26863,9046,3146,604,325
ualad09:Isles of Scilly,E06000053,989,336,378,122,114,32,4,1,2
ualad09:North Somerset,E06000024,88227,27115,33000,12468,11081,3406,900,156,101
ualad09:Plymouth,E06000026,109307,34317,38502,16644,12859,4667,1671,381,266
ualad09:Poole,E06000029,63530,19134,23517,9589,7772,2492,745,183,98
ualad09:South Gloucestershire,E06000025,107538,28554,38898,17056,16507,4961,1228,238,96
ualad09:Swindon,E06000030,88360,26143,30472,14261,11989,3813,1176,316,190
ualad09:Torbay,E06000027,59010,20192,21959,7953,5879,2108,689,149,81
ualad09:Wiltshire,E06000054,194194,51845,74250,30011,26671,8556,2239,423,199
ualad09:East Devon,E07000040,59071,18269,24150,7479,6318,2110,598,95,52
ualad09:Exeter,E07000041,49242,16555,16572,7042,5922,2089,763,191,108
ualad09:Mid Devon,E07000042,32758,8995,12585,4895,4212,1509,409,101,52
ualad09:North Devon,E07000043,40001,11846,15343,5620,4746,1710,574,108,54
ualad09:South Hams,E07000044,36858,11242,14754,4887,4147,1331,387,74,36
ualad09:Teignbridge,E07000045,54003,16222,21121,7600,6300,1982,593,120,65
ualad09:Torridge,E07000046,27986,8402,11156,3746,3119,1099,344,81,39
ualad09:West Devon,E07000047,22725,6414,9260,3044,2709,949,260,56,33
ualad09:Christchurch,E07000048,21475,6856,8396,2703,2414,830,220,42,14
ualad09:East Dorset,E07000049,37564,9820,15987,5193,4648,1420,395,65,36
ualad09:North Dorset,E07000050,28670,8095,11492,4020,3485,1129,342,78,29
ualad09:Purbeck,E07000051,19583,5699,7825,2699,2296,775,227,39,23
ualad09:West Dorset,E07000052,44386,14161,17794,5733,4585,1563,437,77,36
ualad09:Weymouth and Portland,E07000053,28535,9138,10699,4076,3089,1084,355,64,30
ualad09:Cheltenham,E07000078,50929,17735,17716,6822,5921,1942,570,140,83
ualad09:Cotswold,E07000079,36236,10959,14134,4917,4395,1388,335,79,29
ualad09:Forest of Dean,E07000080,34167,9226,13393,5073,4390,1518,414,93,60
ualad09:Gloucester,E07000081,50363,14695,17072,8183,6971,2409,758,178,97
ualad09:Stroud,E07000082,47794,13472,18175,6771,6504,2133,571,118,50
ualad09:Tewkesbury,E07000083,35126,9858,13628,5135,4602,1417,396,63,27
ualad09:Mendip,E07000187,46157,13809,17069,6711,5835,2029,549,102,53
ualad09:Sedgemoor,E07000188,48801,13844,18714,7221,6107,2085,634,131,65
ualad09:South Somerset,E07000189,69501,20491,26957,9912,8346,2745,804,178,68
ualad09:Taunton Deane,E07000190,46907,14181,17397,6934,5858,1844,531,102,60
ualad09:West Somerset,E07000191,15623,5212,6432,1824,1404,513,165,54,19
ualad09:Isle of Anglesey,W06000001,30594,9888,10941,4380,3541,1365,369,75,35
ualad09:Gwynedd,W06000002,52473,18548,17299,6990,5954,2535,844,195,108
ualad09:Conwy,W06000003,51177,17297,18668,6881,5529,1977,636,127,62
ualad09:Denbighshire,W06000004,40546,12714,14668,5783,4890,1722,565,150,54
ualad09:Flintshire,W06000005,63781,17477,23014,10427,8845,2947,834,166,71
ualad09:Wrexham,W06000006,57029,16817,19782,9421,7708,2383,687,156,75
ualad09:Powys,W06000023,58345,18359,22160,7770,6562,2515,746,159,74
ualad09:Ceredigion,W06000008,31562,10456,11257,4267,3413,1399,539,137,94
ualad09:Pembrokeshire,W06000009,53122,16392,19972,7352,6153,2303,744,141,65
ualad09:Carmarthenshire,W06000010,78829,23770,28636,12131,9558,3366,1047,211,110
ualad09:Swansea,W06000011,103497,34485,34757,15533,12524,4308,1367,352,171
ualad09:Neath Port Talbot,W06000012,60393,18259,20910,10326,7835,2317,583,120,43
ualad09:Bridgend,W06000013,58515,16472,20919,10151,7791,2423,596,114,49
ualad09:Vale of Glamorgan,W06000014,53505,15851,18868,8654,6988,2357,609,129,49
ualad09:Cardiff,W06000015,142557,47141,45206,21363,17882,6828,2754,800,583
ualad09:Rhondda Cynon Taff,W06000016,99663,29875,33674,17205,13365,4102,1153,198,91
ualad09:Merthyr Tydfil,W06000024,24264,6559,8321,4454,3441,1074,309,80,26
ualad09:Caerphilly,W06000018,74479,20196,26235,13195,10278,3440,878,171,86
ualad09:Blaenau Gwent,W06000019,30416,9608,10185,5364,3716,1103,346,63,31
ualad09:Torfaen,W06000020,38524,11163,13408,6547,5156,1641,469,75,65
ualad09:Monmouthshire,W06000021,38233,10592,14388,5862,5084,1686,477,82,62
ualad09:Newport,W06000022,61172,18849,20359,9596,8065,2920,1046,210,127
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,
,have been swapped between different geographic areas. Some counts will,,,,,,,,,
,"be affected, particularly small counts at the lowest geographies",,,,,,,,,
